# Znak Russian dictionary.
# Source: hingston/russian 50000-russian-words-cyrillic-only.txt
# Derived from University of Leeds Corpus, CC BY Attribution.
# Format:
#   word frequency
# Lines beginning with # are ignored. Frequency is optional; higher means earlier.
приходить 99522
фильм 99521
обычно 99520
счет 99519
спать 99518
небольшой 99517
культура 99516
текст 99515
брать 99514
документ 99513
принцип 99512
разговор 99511
телефон 99510
произойти 99509
правый 99508
способ 99507
течение 99506
провести 99505
пол 99504
вокруг 99503
проходить 99502
купить 99501
родитель 99500
сей 99499
ряд 99498
ещё 99497
единственный 99496
метр 99495
сайт 99494
партия 99493
позволять 99492
образование 99491
зачем 99490
наверное 99489
период 99488
кстати 99487
пара 99486
квартира 99485
забыть 99484
е 99483
значение 99482
внутренний 99481
связать 99480
требовать 99479
далее 99478
основа 99477
александр 99476
возможный 99475
желание 99474
слушать 99473
чуть 99472
номер 99471
изменение 99470
очередь 99469
политика 99468
класс 99467
относиться 99466
факт 99465
брат 99464
собираться 99463
определенный 99462
довольно 99461
производство 99460
создание 99459
район 99458
особый 99457
верить 99456
спасибо 118000
предприятие 99455
близкий 99454
ход 99453
экономический 99452
знакомый 99451
человеческий 99450
местный 99449
назвать 99448
небо 99447
направление 99446
туда 99445
удаться 99444
встреча 99443
шаг 99442
остальной 99441
попасть 99440
команда 99439
добрый 99438
поле 99437
г 99436
сша 99435
исследование 99434
общественный 99433
её 99432
мальчик 99431
метод 99430
повод 99429
рост 99428
сначала 99427
рассказывать 99426
сон 99425
уходить 99424
служба 99423
ж 99422
население 99421
воздух 99420
словно 99419
кровь 99418
спрашивать 99417
зрение 99416
врач 99415
ехать 99414
нравиться 99413
приходиться 99412
знание 99411
войти 99410
предложить 99409
использование 99408
начаться 99407
десять 99406
палец 99405
обычный 99404
необходимо 99403
орган 99402
доллар 99401
держать 99400
т 99399
название 99398
похожий 99397
дорогой 99396
реальный 99395
участие 99394
род 99393
приехать 99392
наиболее 99391
девочка 99390
крупный 99389
море 99388
природа 99387
магазин 99386
вроде 99385
память 99384
весьма 99383
больший 99382
домой 99381
объект 99380
свобода 99379
продукт 99378
борьба 99377
личный 99376
касаться 99375
причем 99374
проводить 99373
отдельный 99372
успеть 99371
предмет 99370
представитель 99369
плечо 99368
национальный 99367
музыка 99366
самолет 99365
позиция 99364
вспомнить 99363
американский 99362
стараться 99361
герой 99360
характер 99359
размер 99358
пить 99357
средний 99356
срок 99355
институт 99354
сеть 99353
солнце 99352
серьезный 99351
подойти 99350
иначе 99349
сергей 99348
показывать 99347
союз 99346
дух 99345
позволить 99344
интернет 99343
лес 99342
журнал 99341
степень 99340
предлагать 99339
территория 99338
март 99337
успех 99336
искусство 99335
участник 99334
парень 99333
свободный 99332
гость 99331
впрочем 99330
вариант 99329
предложение 99328
судьба 99327
составлять 99326
товар 99325
надеяться 99324
действовать 99323
международный 99322
способный 99321
практически 99320
директор 99319
европа 99318
полностью 99317
поздний 99316
песня 99315
лучше 99314
п 99313
случиться 99312
ум 99311
выбор 99310
модель 99309
река 99308
фирма 99307
гражданин 99306
товарищ 99305
московский 99304
нормальный 99303
сознание 99302
картина 99301
сильно 99300
умереть 99299
апрель 99298
источник 99297
вместо 99296
граница 99295
состоять 99294
всего 99293
половина 99292
операция 99291
оценка 99290
огонь 99289
постоянно 99288
специалист 99287
главное 99286
собака 99285
компьютер 105000
красивый 99284
технология 99283
дерево 99282
выход 99281
гора 99280
входить 99279
мировой 99278
научный 99277
уметь 99276
детский 99275
корабль 99274
желать 99273
берег 99272
широкий 99271
низкий 99270
убить 99269
прекрасный 99268
ибо 99267
будущее 99266
внешний 99265
литература 99264
тяжелый 99263
сотрудник 99262
среда 99261
помогать 99260
бой 99259
сложный 99258
зал 99257
услышать 99256
войско 99255
структура 99254
несмотря 99253
пользоваться 99252
защита 99251
короткий 99250
начальник 99249
бумага 99248
странный 99247
установить 99246
край 99245
ошибка 99244
церковь 99243
вызвать 99242
состав 99241
объяснить 99240
разве 99239
сюда 99238
сообщить 99237
чтоб 99236
прошлый 99235
столько 99234
л 99233
понятие 99232
длинный 99231
поддержка 99230
поднять 99229
возраст 99228
встать 99227
трудно 99226
быстрый 99225
линия 99224
андрей 99223
услуга 99222
счастье 99221
роман 99220
выглядеть 99219
иметься 99218
ветер 99217
возникать 99216
английский 99215
оказываться 99214
курс 99213
отметить 99212
поиск 99211
папа 99210
высший 99209
теория 99208
добавить 99207
бывший 99206
пространство 99205
столь 99204
учиться 99203
экономика 99202
чистый 99201
специальный 99200
потерять 99199
бросить 99198
спина 99197
поведение 99196
служить 99195
получиться 99194
оружие 99193
страх 99192
страница 99191
враг 99190
вызывать 99189
двадцать 99188
руководитель 99187
откуда 99186
гораздо 99185
карта 99184
страшный 99183
звук 99182
камень 99181
ожидать 99180
рассказ 99179
обнаружить 99178
хозяин 99177
анализ 99176
надежда 99175
вновь 99174
господин 99173
солдат 99172
единый 99171
цвет 99170
сесть 99169
круг 99168
попытка 99167
однажды 99166
комментарий 99165
клиент 99164
удар 99163
владимир 99162
крайний 99161
база 99160
доктор 99159
необходимость 99158
остановиться 99157
означать 99156
глядеть 99155
появляться 99154
дочь 99153
пожалуйста 117000
республика 99152
представление 99151
ставить 99150
поехать 99149
волос 99148
вера 99147
принести 99146
германия 99145
называться 99144
отсутствие 99143
прямой 99142
масса 99141
процент 99140
долгий 99139
выбрать 99138
студент 99137
здание 99136
ребята 99135
угол 99134
конкретный 99133
скорость 99132
согласиться 99131
требование 99130
любимый 99129
май 99128
подходить 99127
бежать 99126
адрес 99125
видно 99124
новость 99123
открытый 99122
список 99121
возвращаться 99120
энергия 99119
вывод 99118
учитель 99117
возникнуть 99116
договор 99115
снять 99114
зависеть 99113
сфера 99112
положить 99111
западный 99110
обязательно 99109
немецкий 99108
примерно 99107
боль 99106
безопасность 99105
функция 99104
плохо 99103
иван 99102
некий 99101
ученый 99100
способность 99099
банк 99098
удовольствие 99097
основание 99096
дома 99095
чужой 99094
ощущение 99093
противник 99092
никак 99091
объем 99090
показаться 99089
вперед 99088
общее 99087
определить 99086
писатель 99085
звезда 99084
создавать 99083
знак 120000
вовсе 99082
уверенный 99081
влияние 99080
грудь 99079
контроль 99078
двор 99077
одновременно 99076
пункт 99075
получаться 99074
радость 99073
завтра 115000
старший 99072
заявить 99071
впечатление 99070
практика 99069
внутри 99068
попросить 99067
руководство 99066
содержание 99065
воля 99064
январь 99063
боевой 99062
хватать 99061
вчера 99060
режим 99059
р 99058
очередной 99057
отдать 99056
здоровье 99055
расти 99054
стоимость 99053
правильный 99052
километр 99051
звать 99050
шесть 99049
личность 99048
физический 99047
регион 99046
рот 99045
больной 99044
итог 99043
предел 99042
занять 99041
может 99040
читатель 99039
